iter	Logloss
0	0.6296051618
1	0.577071847
2	0.5464111767
3	0.5230113065
4	0.4950705258
5	0.4816875877
6	0.4663634794
7	0.4491554442
8	0.440708276
9	0.4231743977
10	0.4125078912
11	0.4041165814
12	0.3959372657
13	0.3911799124
14	0.3831449449
15	0.3747920578
16	0.3698048471
17	0.36530342
18	0.3595911285
19	0.3567027378
20	0.3526288805
21	0.3491500306
22	0.3459023897
23	0.3444467219
24	0.3408242333
25	0.3372099662
26	0.3348826832
27	0.3324643994
28	0.3298554404
29	0.3275474378
30	0.3251200406
31	0.3226882195
32	0.3206018999
33	0.3188453584
34	0.3163347662
35	0.3135467502
36	0.3120639231
37	0.3111068699
38	0.3096728553
39	0.3082733995
40	0.3068820349
41	0.3052548571
42	0.3042661965
43	0.3030642923
44	0.3024470766
45	0.3012707303
46	0.3000694354
47	0.298570642
48	0.2972592388
49	0.2960408232
50	0.2949620788
51	0.2937876659
52	0.2922321755
53	0.2911244066
54	0.2902550247
55	0.2894161157
56	0.2882048663
57	0.2873587077
58	0.2871190971
59	0.2860982703
60	0.2853669053
61	0.284507173
62	0.283798261
63	0.2831856252
64	0.2829241482
65	0.2826859414
66	0.2825177074
67	0.2820320402
68	0.281519466
69	0.2812884726
70	0.2810806553
71	0.2801689896
72	0.2795519892
73	0.2787777107
74	0.2783152999
75	0.2782246485
76	0.2778103678
77	0.277727826
78	0.2776564274
79	0.2766759975
80	0.2758511753
81	0.2757534171
82	0.2751201412
83	0.2749432305
84	0.2745643479
85	0.2739199624
86	0.2733693738
87	0.2730416002
88	0.2724467736
89	0.2723359891
90	0.2717139304
91	0.2710619594
92	0.2703207653
93	0.2698300377
94	0.2697215147
95	0.2690937274
96	0.2685959269
97	0.2679770329
98	0.2676303449
99	0.2675361039
