iter	Passed	Remaining
0	14	1474
1	30	1480
2	31	1025
3	48	1165
4	68	1292
5	84	1328
6	99	1322
7	116	1342
8	129	1310
9	144	1299
10	158	1278
11	172	1263
12	186	1248
13	201	1236
14	214	1214
15	227	1192
16	239	1170
17	254	1157
18	267	1139
19	281	1125
20	296	1114
21	309	1098
22	321	1076
23	333	1056
24	346	1038
25	357	1018
26	369	1000
27	381	981
28	394	964
29	407	949
30	419	934
31	434	923
32	450	915
33	464	900
34	478	889
35	495	881
36	511	871
37	527	859
38	541	846
39	556	835
40	572	823
41	588	812
42	602	798
43	616	784
44	630	770
45	644	756
46	668	753
47	686	744
48	707	736
49	728	728
50	744	714
51	758	700
52	772	685
53	788	671
54	808	661
55	824	648
56	839	633
57	853	618
58	868	603
59	881	587
60	895	572
61	908	556
62	921	541
63	934	525
64	948	510
65	961	495
66	973	479
67	985	463
68	999	448
69	1011	433
70	1024	418
71	1036	403
72	1050	388
73	1062	373
74	1074	358
75	1087	343
76	1100	328
77	1112	313
78	1124	298
79	1136	284
80	1148	269
81	1161	254
82	1174	240
83	1185	225
84	1197	211
85	1209	196
86	1223	182
87	1236	168
88	1249	154
89	1262	140
90	1273	125
91	1285	111
92	1297	97
93	1309	83
94	1321	69
95	1333	55
96	1344	41
97	1359	27
98	1372	13
99	1384	0
