iter	Passed	Remaining
0	3	1516
1	5	1370
2	8	1347
3	10	1328
4	13	1358
5	16	1331
6	19	1342
7	21	1329
8	24	1333
9	27	1332
10	29	1322
11	32	1320
12	35	1316
13	37	1309
14	40	1300
15	43	1305
16	46	1308
17	48	1309
18	51	1309
19	54	1308
20	57	1308
21	60	1311
22	63	1325
23	66	1325
24	69	1321
25	72	1324
26	75	1320
27	77	1314
28	81	1315
29	83	1314
30	86	1311
31	89	1307
32	91	1290
33	94	1288
34	97	1290
35	100	1291
36	103	1292
37	106	1292
38	109	1289
39	111	1285
40	114	1284
41	117	1284
42	120	1280
43	123	1277
44	126	1275
45	128	1272
46	131	1269
47	134	1268
48	137	1267
49	140	1263
50	143	1260
51	145	1257
52	148	1256
53	152	1256
54	155	1255
55	158	1254
56	161	1251
57	163	1247
58	166	1244
59	169	1241
60	172	1240
61	175	1238
62	178	1235
63	180	1232
64	183	1230
65	187	1229
66	190	1228
67	193	1227
68	196	1228
69	199	1226
70	202	1222
71	205	1220
72	208	1217
73	211	1216
74	214	1214
75	218	1217
76	221	1217
77	224	1216
78	228	1215
79	231	1213
80	234	1210
81	237	1208
82	240	1206
83	243	1204
84	246	1201
85	249	1199
86	252	1199
87	255	1197
88	258	1194
89	262	1193
90	265	1192
91	268	1188
92	271	1186
93	274	1184
94	276	1180
95	279	1177
96	282	1174
97	285	1170
98	288	1167
99	291	1164
100	294	1164
101	298	1163
102	300	1159
103	304	1157
104	307	1156
105	310	1153
106	313	1150
107	316	1149
108	319	1145
109	322	1144
110	325	1141
111	328	1137
112	331	1136
113	334	1133
114	337	1129
115	340	1125
116	342	1122
117	345	1118
118	348	1114
119	351	1112
120	353	1108
121	356	1104
122	359	1100
123	362	1098
124	365	1095
125	367	1091
126	370	1088
127	373	1085
128	376	1081
129	378	1077
130	381	1074
131	384	1070
132	386	1067
133	389	1064
134	392	1061
135	395	1057
136	397	1054
137	400	1051
138	403	1047
139	406	1044
140	409	1042
141	412	1039
142	415	1036
143	418	1033
144	421	1030
145	423	1027
146	426	1024
147	429	1021
148	432	1019
149	435	1016
150	438	1014
151	441	1011
152	445	1010
153	448	1007
154	451	1005
155	454	1001
156	457	998
157	460	996
158	463	993
159	465	989
160	468	986
161	471	983
162	474	980
163	477	978
164	480	976
165	483	973
166	486	971
167	489	967
168	492	964
169	495	962
170	498	959
171	501	956
172	504	953
173	507	951
174	510	947
175	512	944
176	515	941
177	518	938
178	521	935
179	524	932
180	527	929
181	530	926
182	532	923
183	535	920
184	538	917
185	541	914
186	544	911
187	546	907
188	549	904
189	553	902
190	555	899
191	558	896
192	562	894
193	565	891
194	568	888
195	570	885
196	573	882
197	576	878
198	579	876
199	582	873
200	585	870
201	587	867
202	591	865
203	594	862
204	597	859
205	600	856
206	602	853
207	605	849
208	608	847
209	611	843
210	614	841
211	617	838
212	620	835
213	622	832
214	625	829
215	628	826
216	631	823
217	634	820
218	637	817
219	640	815
220	643	812
221	646	809
222	649	806
223	653	804
224	656	802
225	659	799
226	661	796
227	665	793
228	668	790
229	670	787
230	673	784
231	676	781
232	679	778
233	682	775
234	685	772
235	688	769
236	690	766
237	693	763
238	696	760
239	699	757
240	702	754
241	705	751
242	707	748
243	710	745
244	713	742
245	716	739
246	718	736
247	721	733
248	724	730
249	727	727
250	730	724
251	733	721
252	737	719
253	740	717
254	743	714
255	746	711
256	749	708
257	753	706
258	756	703
259	759	700
260	762	698
261	764	694
262	767	691
263	770	689
264	773	686
265	777	683
266	780	680
267	782	677
268	785	674
269	788	671
270	792	669
271	795	666
272	798	663
273	801	661
274	804	658
275	807	655
276	810	652
277	813	649
278	816	647
279	819	644
280	822	641
281	825	638
282	828	635
283	831	632
284	834	629
285	836	626
286	839	623
287	842	620
288	845	617
289	848	614
290	851	611
291	854	608
292	857	605
293	860	602
294	862	599
295	865	596
296	868	593
297	871	590
298	874	587
299	877	584
300	879	581
301	882	578
302	885	575
303	888	572
304	891	569
305	893	566
306	896	563
307	899	560
308	901	557
309	904	554
310	907	551
311	910	548
312	913	545
313	916	542
314	919	539
315	922	537
316	925	534
317	929	531
318	932	528
319	935	526
320	938	523
321	941	520
322	944	517
323	947	514
324	950	511
325	956	510
326	961	508
327	965	506
328	969	503
329	973	501
330	977	498
331	980	496
332	985	494
333	988	491
334	991	488
335	995	485
336	999	483
337	1001	480
338	1004	477
339	1007	474
340	1010	471
341	1013	468
342	1016	465
343	1019	462
344	1022	459
345	1025	456
346	1027	453
347	1031	450
348	1036	448
349	1040	445
350	1044	443
351	1047	440
352	1050	437
353	1053	434
354	1056	431
355	1059	428
356	1062	425
357	1065	422
358	1068	419
359	1072	416
360	1074	413
361	1077	410
362	1080	407
363	1083	404
364	1086	401
365	1089	398
366	1092	395
367	1095	392
368	1099	390
369	1102	387
370	1105	384
371	1108	381
372	1110	378
373	1113	375
374	1116	372
375	1118	368
376	1121	365
377	1123	362
378	1126	359
379	1129	356
380	1133	353
381	1136	351
382	1139	348
383	1141	344
384	1144	341
385	1147	338
386	1150	336
387	1153	333
388	1156	330
389	1159	327
390	1162	324
391	1165	321
392	1168	318
393	1171	315
394	1174	312
395	1177	309
396	1180	306
397	1184	303
398	1187	300
399	1190	297
400	1193	294
401	1196	291
402	1199	288
403	1202	285
404	1205	282
405	1207	279
406	1210	276
407	1213	273
408	1216	270
409	1219	267
410	1222	264
411	1225	261
412	1227	258
413	1230	255
414	1233	252
415	1236	249
416	1240	246
417	1243	243
418	1246	240
419	1249	237
420	1251	234
421	1254	231
422	1257	228
423	1260	226
424	1263	223
425	1266	220
